habitat,id1,id2,value
cobble,pu_045,pu_009,0.0
cobble,pu_046,pu_009,0.0
cobble,pu_047,pu_009,0.0
cobble,pu_048,pu_009,0.0
cobble,pu_049,pu_009,0.0
cobble,pu_050,pu_009,0.0
cobble,pu_051,pu_009,0.0
cobble,pu_052,pu_009,0.0
cobble,pu_053,pu_009,0.0
cobble,pu_054,pu_009,0.0
cobble,pu_055,pu_009,0.0
cobble,pu_056,pu_009,0.0
cobble,pu_057,pu_009,0.0
cobble,pu_058,pu_009,0.0
cobble,pu_059,pu_009,0.0
cobble,pu_060,pu_009,0.0
cobble,pu_061,pu_009,0.0
cobble,pu_062,pu_009,0.0
cobble,pu_063,pu_009,0.0
cobble,pu_064,pu_009,0.0
cobble,pu_065,pu_009,0.0
cobble,pu_066,pu_009,0.0
cobble,pu_067,pu_009,0.0
cobble,pu_068,pu_009,0.0
cobble,pu_069,pu_009,0.0
cobble,pu_070,pu_009,0.0
cobble,pu_071,pu_009,0.0
cobble,pu_072,pu_009,0.0
cobble,pu_073,pu_009,0.0
cobble,pu_074,pu_009,0.0
cobble,pu_075,pu_009,0.0
cobble,pu_076,pu_009,0.0
cobble,pu_077,pu_009,0.0
cobble,pu_078,pu_009,0.0
cobble,pu_079,pu_009,0.0
cobble,pu_080,pu_009,0.0
cobble,pu_001,pu_010,0.0
cobble,pu_002,pu_010,0.0
cobble,pu_003,pu_010,0.0
cobble,pu_004,pu_010,0.0
cobble,pu_005,pu_010,0.0
cobble,pu_006,pu_010,0.0
cobble,pu_007,pu_010,0.0
cobble,pu_008,pu_010,0.0
cobble,pu_009,pu_010,0.0
cobble,pu_010,pu_010,0.0
cobble,pu_011,pu_010,0.0
cobble,pu_012,pu_010,0.0
cobble,pu_013,pu_010,0.0
cobble,pu_014,pu_010,0.0
cobble,pu_015,pu_010,0.0
cobble,pu_016,pu_010,0.0
cobble,pu_017,pu_010,0.0
cobble,pu_018,pu_010,0.0
cobble,pu_019,pu_010,0.0
cobble,pu_020,pu_010,0.0
cobble,pu_021,pu_010,0.0
cobble,pu_022,pu_010,0.0
cobble,pu_023,pu_010,0.0
cobble,pu_024,pu_010,0.0
cobble,pu_025,pu_010,0.0
cobble,pu_026,pu_010,0.0
cobble,pu_027,pu_010,0.0
cobble,pu_028,pu_010,0.0
cobble,pu_029,pu_010,0.0
cobble,pu_030,pu_010,0.0
cobble,pu_031,pu_010,0.0
cobble,pu_032,pu_010,0.0
cobble,pu_033,pu_010,0.0
cobble,pu_034,pu_010,0.0
cobble,pu_035,pu_010,0.0
cobble,pu_036,pu_010,0.0
cobble,pu_037,pu_010,0.0
cobble,pu_038,pu_010,0.0
cobble,pu_039,pu_010,0.0
