time,id1,id2,value
2001,pu_011,pu_008,0.128890697
2001,pu_012,pu_008,0.179900224
2001,pu_013,pu_008,0.005413558
2001,pu_014,pu_008,0.044396708
2001,pu_015,pu_008,0.02794067
2001,pu_016,pu_008,0.058394131
2001,pu_001,pu_009,0.075429614
2001,pu_002,pu_009,0.061495112
2001,pu_003,pu_009,0.020048356
2001,pu_004,pu_009,0.015338698
2001,pu_005,pu_009,0.16368532
2001,pu_006,pu_009,0.143797033
2001,pu_007,pu_009,0.053569044
2001,pu_008,pu_009,0.004221915
2001,pu_009,pu_009,0.188200224
2001,pu_010,pu_009,0.145790697
2001,pu_011,pu_009,0.05052183
2001,pu_012,pu_009,0.043332098
2001,pu_013,pu_009,0.200467238
2001,pu_014,pu_009,0.137526156
2001,pu_015,pu_009,0.077813473
2001,pu_016,pu_009,0.054602256
2001,pu_001,pu_010,0.084029614
2001,pu_002,pu_010,0.067295112
2001,pu_003,pu_010,0.046095112
2001,pu_004,pu_010,0.065652163
2001,pu_005,pu_010,0.14498532
2001,pu_006,pu_010,0.129997033
2001,pu_007,pu_010,0.142797033
2001,pu_008,pu_010,0.071470756
2001,pu_009,pu_010,0.186000224
2001,pu_010,pu_010,0.126690697
2001,pu_011,pu_010,0.138690697
2001,pu_012,pu_010,0.046616825
2001,pu_013,pu_010,0.170267238
2001,pu_014,pu_010,0.179126156
2001,pu_015,pu_010,0.145626156
2001,pu_016,pu_010,0.071903747
2001,pu_001,pu_011,0.049052163
2001,pu_002,pu_011,0.075195112
2001,pu_003,pu_011,0.081295112
2001,pu_004,pu_011,0.054029614
2001,pu_005,pu_011,0.050870756
2001,pu_006,pu_011,0.129197033
2001,pu_007,pu_011,0.124197033
2001,pu_008,pu_011,0.17338532
2001,pu_009,pu_011,0.094116825
2001,pu_010,pu_011,0.119990697
2001,pu_011,pu_011,0.162590697
2001,pu_012,pu_011,0.142500224
2001,pu_013,pu_011,0.089603747
2001,pu_014,pu_011,0.127026156
2001,pu_015,pu_011,0.162626156
2001,pu_016,pu_011,0.199967238
2001,pu_001,pu_012,0.005138698
2001,pu_002,pu_012,0.037148356
2001,pu_003,pu_012,0.057795112
2001,pu_004,pu_012,0.080629614
2001,pu_005,pu_012,-0.009978085
2001,pu_006,pu_012,0.044369044
2001,pu_007,pu_012,0.143497033
2001,pu_008,pu_012,0.16598532
2001,pu_009,pu_012,0.042632098
2001,pu_010,pu_012,0.05092183
2001,pu_011,pu_012,0.123990697
2001,pu_012,pu_012,0.200300224
2001,pu_013,pu_012,0.049002256
2001,pu_014,pu_012,0.051713473
2001,pu_015,pu_012,0.168926156
2001,pu_016,pu_012,0.203267238
2001,pu_001,pu_013,0.041774139
2001,pu_002,pu_013,-0.008468015
2001,pu_003,pu_013,-0.0098
2001,pu_004,pu_013,-0.0196
2001,pu_005,pu_013,0.065290326
2001,pu_006,pu_013,-0.001257064
2001,pu_007,pu_013,-0.0134
2001,pu_008,pu_013,-0.0235
2001,pu_009,pu_013,0.188600224
